step 0, train_loss 6.2745e+01, test_loss nan
step 200, train_loss 4.7482e+01, test_loss nan
step 400, train_loss 3.3841e+01, test_loss nan
step 600, train_loss 4.3170e+01, test_loss nan
step 800, train_loss 3.0527e+01, test_loss nan
step 1000, train_loss 3.4619e+01, test_loss nan
step 1200, train_loss 3.1929e+01, test_loss nan
step 1400, train_loss 3.2806e+01, test_loss nan
step 1600, train_loss 3.3842e+01, test_loss nan
step 1800, train_loss 3.0289e+01, test_loss nan
step 2000, train_loss 3.1951e+01, test_loss nan
step 2200, train_loss 3.0776e+01, test_loss nan
step 2400, train_loss 3.7374e+01, test_loss nan
step 2600, train_loss 2.8826e+01, test_loss nan
step 2800, train_loss 2.7622e+01, test_loss nan
step 3000, train_loss 2.5438e+01, test_loss nan
step 3200, train_loss 2.2419e+01, test_loss nan
step 3400, train_loss 2.1654e+01, test_loss nan
step 3600, train_loss 2.3457e+01, test_loss nan
step 3800, train_loss 2.0058e+01, test_loss nan
step 4000, train_loss 4.4065e+01, test_loss nan
step 4200, train_loss 2.2013e+01, test_loss nan
step 4400, train_loss 2.1582e+01, test_loss nan
step 4600, train_loss 1.6676e+01, test_loss nan
step 4800, train_loss 3.5026e+01, test_loss nan
step 5000, train_loss 3.8524e+01, test_loss nan
step 5200, train_loss 1.8279e+01, test_loss nan
step 5400, train_loss 1.7490e+01, test_loss nan
step 5600, train_loss 1.8923e+01, test_loss nan
step 5800, train_loss 2.0610e+01, test_loss nan
step 6000, train_loss 2.5486e+01, test_loss nan
step 6200, train_loss 1.8574e+01, test_loss nan
step 6400, train_loss 2.7401e+01, test_loss nan
step 6600, train_loss 1.4602e+01, test_loss nan
step 6800, train_loss 2.3415e+01, test_loss nan
step 7000, train_loss 2.1978e+01, test_loss nan
step 7200, train_loss 7.3823e+00, test_loss nan
step 7400, train_loss 1.9442e+01, test_loss nan
step 7600, train_loss 1.7605e+01, test_loss nan
step 7800, train_loss 3.6297e+01, test_loss nan
step 8000, train_loss 2.7379e+01, test_loss nan
step 8200, train_loss 1.9130e+01, test_loss nan
step 8400, train_loss 2.7015e+01, test_loss nan
step 8600, train_loss 2.1006e+01, test_loss nan
step 8800, train_loss 5.2885e+00, test_loss nan
step 9000, train_loss 2.3375e+01, test_loss nan
step 9200, train_loss 8.6848e+00, test_loss nan
step 9400, train_loss 1.1964e+01, test_loss nan
step 9600, train_loss 1.3935e+01, test_loss nan
step 9800, train_loss 1.3904e+01, test_loss nan
step 10000, train_loss 9.6204e+00, test_loss nan
step 10200, train_loss 2.2892e+01, test_loss nan
step 10400, train_loss 1.9195e+01, test_loss nan
step 10600, train_loss 1.7829e+01, test_loss nan
step 10800, train_loss 3.3513e+01, test_loss nan
step 11000, train_loss 1.9564e+01, test_loss nan
step 11200, train_loss 1.0319e+01, test_loss nan
step 11400, train_loss 6.7544e+00, test_loss nan
step 11600, train_loss 1.1486e+01, test_loss nan
step 11800, train_loss 1.9943e+01, test_loss nan
step 12000, train_loss 6.2846e+00, test_loss nan
step 12200, train_loss 1.1676e+01, test_loss nan
step 12400, train_loss 1.9295e+01, test_loss nan
step 12600, train_loss 8.2728e+00, test_loss nan
step 12800, train_loss 1.0254e+01, test_loss nan
step 13000, train_loss 7.0523e+00, test_loss nan
step 13200, train_loss 1.1249e+01, test_loss nan
step 13400, train_loss 2.5959e+01, test_loss nan
step 13600, train_loss 9.2418e+00, test_loss nan
step 13800, train_loss 4.1698e+00, test_loss nan
step 14000, train_loss 1.0695e+01, test_loss nan
step 14200, train_loss 4.9935e+00, test_loss nan
step 14400, train_loss 3.2265e+00, test_loss nan
step 14600, train_loss 4.9414e+00, test_loss nan
step 14800, train_loss 9.3029e+00, test_loss nan
step 15000, train_loss 6.3198e+00, test_loss nan
step 15200, train_loss 5.5790e+00, test_loss nan
step 15400, train_loss 5.5747e+00, test_loss nan
step 15600, train_loss 1.0978e+01, test_loss nan
step 15800, train_loss 1.0744e+01, test_loss nan
step 16000, train_loss 4.0644e+00, test_loss nan
step 16200, train_loss 5.1152e+00, test_loss nan
step 16400, train_loss 4.5453e+00, test_loss nan
step 16600, train_loss 8.8360e+00, test_loss nan
step 16800, train_loss 9.1221e+00, test_loss nan
step 17000, train_loss 9.2879e+00, test_loss nan
